id,account_id,transaction_date,description,transaction_type,debit,credit,balance,currency,created_at
aed96013-1efe-4f07-ad67-a83d087b0ca5,86e12c3f-5928-4d72-8270-0f65fe9437f1,2020-04-13,HST on Security Purchase (Fee),Fee,9.75,0.00,,CAD,2025-12-02 21:12:29.297813+00
b02404c6-f212-486a-a0ef-eab248996be0,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2021-01-01,Annual Administration Fee (Fee),Fee,150.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
b0c6e995-a728-4f84-8397-90f857d40ad5,86e12c3f-5928-4d72-8270-0f65fe9437f1,2022-01-01,Annual Administration Fee (Fee),Fee,75.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
b163a937-041b-400c-b11d-bcad6d11439f,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2022-01-01,Annual Administration Fee (Fee),Fee,175.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
b19ef9bf-2774-481d-a0a3-655c9561d099,031afca7-0ec1-463a-85a3-25f5478b067c,2023-04-01,Non-Brokered Private Security Purchase,Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
bae14047-57f6-4fdc-bedc-d2e95c260c2a,031afca7-0ec1-463a-85a3-25f5478b067c,2022-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
bf1850d3-c965-49a2-89e8-4af99df9671b,031afca7-0ec1-463a-85a3-25f5478b067c,2025-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
c063a170-4a20-4447-934b-64ae48508297,031afca7-0ec1-463a-85a3-25f5478b067c,2021-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
c2262f69-e229-4c46-887b-7f39577b3434,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2024-01-01,HST on Annual Administration Fee (Fee),Fee,19.50,0.00,,CAD,2025-12-02 20:40:36.904713+00
c4533375-c5b3-4005-83d6-b11948806e8e,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2024-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
c63e0609-f95c-4bba-9c85-ccc944c9053c,031afca7-0ec1-463a-85a3-25f5478b067c,2018-03-16,Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
ca65dbf7-1b12-43c0-9638-5ae3d86503d0,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-04-01,Non-Brokered Private Security Purchase,Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
cb976760-1fff-4208-adc5-5758f698d762,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2024-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
cf607fb8-3aa2-4486-ace6-e1d5fa41683b,031afca7-0ec1-463a-85a3-25f5478b067c,2019-01-01,Fees Paid by EFT,Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
d110f7c8-0fde-4a6b-97da-43f4235dfbd4,86e12c3f-5928-4d72-8270-0f65fe9437f1,2020-02-24,Administration Fee (Fee),Fee,75.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
d32386e9-4029-43f1-ab02-fa3ecc372c07,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2019-03-13,HST on Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
d5b9ca5c-f88a-4fcb-8164-0988cf8a3918,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-04-01,Non-Brokered Private Security Purchase,Purchase,175.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
d6faaa54-0fca-47f4-a3d5-142791e6f04f,031afca7-0ec1-463a-85a3-25f5478b067c,2022-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
d827289a-cd8d-4164-993a-4d6ffa76ceb7,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2019-03-13,HST on Administration Fee (Fee),Fee,19.50,0.00,,CAD,2025-12-02 20:40:36.904713+00
d8ac9d50-bf15-4f60-b1c4-f1711558fe95,86e12c3f-5928-4d72-8270-0f65fe9437f1,2021-01-01,HST on Annual Administration Fee (Fee),Fee,9.75,0.00,,CAD,2025-12-02 21:12:29.297813+00
da89c79c-0324-4c8e-964a-9e390a9396e7,031afca7-0ec1-463a-85a3-25f5478b067c,2020-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
e2c32bb0-ecd2-473f-b65b-edcd757599b8,031afca7-0ec1-463a-85a3-25f5478b067c,2023-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
e4d41575-520c-4c3a-a196-8c6fd76a5768,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2025-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
e70f9643-f50d-46e5-b1d1-a7d03bdf3461,031afca7-0ec1-463a-85a3-25f5478b067c,2024-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
e785b325-ca1a-490b-9ee2-55f096b839be,86e12c3f-5928-4d72-8270-0f65fe9437f1,2025-01-01,Annual Administration Fee (Fee),Fee,75.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
e8b3aad4-a0c2-441a-96d8-96ce52094f0c,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2020-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
e980149f-df89-4302-8007-a3aa202d8d9b,86e12c3f-5928-4d72-8270-0f65fe9437f1,2025-01-01,HST on Annual Administration Fee (Fee),Fee,9.75,0.00,,CAD,2025-12-02 21:12:29.297813+00
ed291063-a0f7-4791-9f17-98e02dc8cae8,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2023-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
ed41233f-ebf9-4d11-8404-3680d5b49e7a,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2021-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
f6437ae9-96e2-4217-ae57-42fa1f1517b6,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2022-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
